n,time_f1,time_f2,time_f3,time_f4
0,0.000001,0.000001,0.000000,0.000000,0.000001
10,0.000001,0.000000,0.000001,0.000000,0.000001
20,0.000000,0.000000,0.000001,0.000000,0.000002
30,0.000000,0.000001,0.000002,0.000000,0.000002
40,0.000001,0.000001,0.000003,0.000001,0.000003
50,0.000000,0.000001,0.000004,0.000002,0.000004
60,0.000000,0.000002,0.000004,0.000002,0.000004
70,0.000001,0.000002,0.000013,0.000006,0.000006
80,0.000001,0.000002,0.000005,0.000007,0.000007
90,0.000001,0.000002,0.000006,0.000009,0.000007
100,0.000001,0.000002,0.000007,0.000011,0.000007
110,0.000001,0.000003,0.000008,0.000013,0.000008
120,0.000001,0.000003,0.000008,0.000015,0.000008
130,0.000001,0.000003,0.000009,0.000018,0.000009
140,0.000001,0.000003,0.000009,0.000020,0.000010
150,0.000001,0.000004,0.000010,0.000022,0.000010
160,0.000001,0.000003,0.000011,0.000026,0.000012
170,0.000001,0.000004,0.000012,0.000029,0.000014
180,0.000001,0.000004,0.000013,0.000032,0.000014
190,0.000001,0.000004,0.000013,0.000035,0.000014
200,0.000001,0.000004,0.000014,0.000039,0.000015
210,0.000002,0.000004,0.000014,0.000043,0.000017
220,0.000001,0.000005,0.000015,0.000047,0.000017
230,0.000001,0.000005,0.000016,0.000055,0.000019
240,0.000001,0.000005,0.000017,0.000056,0.000019
250,0.000001,0.000006,0.000017,0.000060,0.000019
260,0.000002,0.000005,0.000017,0.000066,0.000020
270,0.000002,0.000005,0.000018,0.000070,0.000021
280,0.000001,0.000005,0.000019,0.000075,0.000022
290,0.000001,0.000006,0.000019,0.000081,0.000023
300,0.000002,0.000006,0.000020,0.000086,0.000024
310,0.000001,0.000007,0.000021,0.000100,0.000024
320,0.000001,0.000006,0.000022,0.000098,0.000026
330,0.000002,0.000007,0.000022,0.000104,0.000027
340,0.000002,0.000007,0.000023,0.000110,0.000027
350,0.000002,0.000007,0.000024,0.000116,0.000028
360,0.000002,0.000007,0.000024,0.000123,0.000038
370,0.000002,0.000008,0.000025,0.000130,0.000030
380,0.000002,0.000008,0.000025,0.000136,0.000032
390,0.000002,0.000009,0.000026,0.000144,0.000032
400,0.000002,0.000009,0.000027,0.000151,0.000033
410,0.000002,0.000009,0.000027,0.000163,0.000035
420,0.000002,0.000009,0.000028,0.000167,0.000034
430,0.000002,0.000009,0.000029,0.000174,0.000036
440,0.000002,0.000009,0.000030,0.000182,0.000037
450,0.000002,0.000010,0.000033,0.000190,0.000036
460,0.000002,0.000010,0.000030,0.000199,0.000039
470,0.000002,0.000010,0.000032,0.000208,0.000039
480,0.000002,0.000010,0.000032,0.000228,0.000040
490,0.000002,0.000010,0.000032,0.000225,0.000041
500,0.000002,0.000010,0.000033,0.000234,0.000042
510,0.000002,0.000011,0.000034,0.000248,0.000043
520,0.000003,0.000011,0.000034,0.000253,0.000044
530,0.000002,0.000010,0.000035,0.000263,0.000045
540,0.000002,0.000011,0.000044,0.000273,0.000046
550,0.000003,0.000011,0.000037,0.000283,0.000047
560,0.000003,0.000012,0.000037,0.000301,0.000048
570,0.000002,0.000012,0.000038,0.000304,0.000049
580,0.000003,0.000012,0.000039,0.000314,0.000057
590,0.000003,0.000012,0.000040,0.000329,0.000050
600,0.000003,0.000012,0.000039,0.000335,0.000051
610,0.000003,0.000012,0.000045,0.000347,0.000052
620,0.000003,0.000013,0.000041,0.000358,0.000053
630,0.000003,0.000013,0.000046,0.000370,0.000054
640,0.000002,0.000012,0.000042,0.000381,0.000055
650,0.000003,0.000013,0.000047,0.000393,0.000055
660,0.000003,0.000014,0.000044,0.000405,0.000065
670,0.000003,0.000014,0.000044,0.000417,0.000058
680,0.000002,0.000013,0.000045,0.000434,0.000060
690,0.000002,0.000014,0.000046,0.000443,0.000060
700,0.000003,0.000014,0.000047,0.000462,0.000061
710,0.000003,0.000014,0.000047,0.000468,0.000064
720,0.000003,0.000014,0.000047,0.000481,0.000062
730,0.000003,0.000015,0.000048,0.000500,0.000065
740,0.000003,0.000015,0.000049,0.000509,0.000065
750,0.000003,0.000016,0.000053,0.000523,0.000066
760,0.000003,0.000016,0.000050,0.000540,0.000066
770,0.000003,0.000016,0.000051,0.000550,0.000076
780,0.000003,0.000016,0.000052,0.000564,0.000068
790,0.000004,0.000016,0.000052,0.000581,0.000070
800,0.000003,0.000016,0.000053,0.000597,0.000071
810,0.000003,0.000017,0.000054,0.000608,0.000078
820,0.000004,0.000017,0.000054,0.000623,0.000072
830,0.000004,0.000017,0.000055,0.000642,0.000074
840,0.000003,0.000017,0.000056,0.000657,0.000075
850,0.000004,0.000017,0.000056,0.000674,0.000075
860,0.000004,0.000018,0.000057,0.000690,0.000074
870,0.000003,0.000017,0.000058,0.000704,0.000076
880,0.000004,0.000018,0.000059,0.000717,0.000085
890,0.000003,0.000018,0.000059,0.000733,0.000078
900,0.000003,0.000018,0.000060,0.000749,0.000079
910,0.000004,0.000019,0.000064,0.000766,0.000079
920,0.000004,0.000018,0.000064,0.000783,0.000080
930,0.000003,0.000018,0.000061,0.000808,0.000081
940,0.000003,0.000019,0.000062,0.000821,0.000084
950,0.000003,0.000019,0.000067,0.000835,0.000086
960,0.000004,0.000019,0.000068,0.000852,0.000085
970,0.000004,0.000020,0.000064,0.000869,0.000093
980,0.000004,0.000020,0.000065,0.000893,0.000086
990,0.000004,0.000020,0.000066,0.000912,0.000087
1000,0.000004,0.000020,0.000067,0.000929,0.000089
1010,0.000004,0.000020,0.000067,0.000947,0.000090
1020,0.000004,0.000020,0.000067,0.000965,0.000090
1030,0.000004,0.000021,0.000068,0.000984,0.000092
1040,0.000004,0.000024,0.000069,0.001003,0.000093
1050,0.000004,0.000021,0.000070,0.001023,0.000093
1060,0.000004,0.000021,0.000070,0.001040,0.000096
1070,0.000005,0.000021,0.000071,0.001060,0.000097
1080,0.000005,0.000021,0.000071,0.001083,0.000098
