Nro_datos,Tiempo_semishell(s),Tiempo_semishell_v2(s),Tiempo_shell(s)
5,0.00000100,0.00000110,0.00000110
10,0.00000130,0.00000160,0.00000180
25,0.00000240,0.00000280,0.00000330
50,0.00000420,0.00000570,0.00000690
100,0.00001440,0.00001650,0.00001490
250,0.00007020,0.00007120,0.00004650
500,0.00014500,0.00016040,0.00009950
1000,0.00036730,0.00038010,0.00014960
2500,0.00117270,0.00140890,0.00031010
5000,0.00382550,0.00410960,0.00064010
10000,0.01297990,0.01358520,0.00141380
25000,0.07763080,0.07717070,0.00360200
50000,0.31123300,0.31140040,0.00728980
100000,1.26254080,1.26212810,0.01506840
200000,5.36877180,5.44505140,0.03492360
500000,34.00744300,33.29197900,0.09232433
1000000,137.97933467,139.08212633,0.19769267
