Nro_datos,Tiempo_burbuja(s),Tiempo_selección(s),Tiempo_inserción(s),Tiempo_semishell(s)
5,0.00000110,0.00000110,0.00000100,0.00000100
10,0.00000160,0.00000160,0.00000130,0.00000130
17,0.00000360,0.00000260,0.00000130,0.00000160
35,0.00000890,0.00000550,0.00000350,0.00000330
50,0.00001800,0.00000950,0.00000450,0.00000420
100,0.00006230,0.00002860,0.00001350,0.00001120
200,0.00021470,0.00009340,0.00004460,0.00003340
500,0.00108650,0.00046160,0.00032600,0.00016160
1000,0.00366050,0.00132880,0.00091480,0.00051180
2500,0.01452480,0.00539380,0.00348270,0.00194550
5000,0.05384000,0.01856660,0.01373720,0.00777890
10000,0.22807330,0.07317220,0.04678410,0.02651910
30000,2.93126130,0.65921630,0.47939910,0.26462550
50000,8.61964520,1.82607170,1.21397600,0.66688200
100000,35.80329450,7.32076580,4.87083470,2.73490900
